,number_in_party,language,destination,method_of_travel,departure_date,company,country_of_origin,destination_city,arrival_date
0,1,Spanish,Arizona - AZ,,2021-01-26,Alaska,Mexico,,2021-01-26
1,1,Spanish,Arizona - AZ,,2021-01-26,,Mexico,,2021-01-26
2,1,Spanish,Utah - UT,,2021-01-29,,Venezuela,,2021-01-29
3,1,Mixteco,California - CA,,2021-01-29,,Mexico,,2021-01-29
4,1,Spanish,Arizona - AZ,,2021-02-01,,Cuba,,2021-02-01
5,1,Spanish,Maryland - MD,,2021-02-01,,Guatemala,,2021-02-01
6,4,Spanish,Texas - TX,,2021-02-02,,Venezuela,,2021-02-02
6,4,Spanish,Texas - TX,,2021-02-02,,Venezuela,,2021-02-02
6,4,Spanish,Texas - TX,,2021-02-02,,Venezuela,,2021-02-02
6,4,Spanish,Texas - TX,,2021-02-02,,Venezuela,,2021-02-02
7,1,Spanish,Florida - FL,,2021-02-02,,Cuba,,2021-02-02
8,1,Spanish,Tennessee - TN,,2021-02-02,,Venezuela,,2021-02-02
9,1,Spanish,New Jersey - NJ,,2021-02-02,,Ecuador,,2021-02-02
10,3,Spanish,Florida - FL,,2021-02-02,,Cuba,,2021-02-02
10,3,Spanish,Florida - FL,,2021-02-02,,Cuba,,2021-02-02
10,3,Spanish,Florida - FL,,2021-02-02,,Cuba,,2021-02-02
11,3,Spanish,Texas - TX,,2021-02-02,,Venezuela,,2021-02-02
11,3,Spanish,Texas - TX,,2021-02-02,,Venezuela,,2021-02-02
11,3,Spanish,Texas - TX,,2021-02-02,,Venezuela,,2021-02-02
12,3,Spanish,Tennessee - TN,,2021-02-03,,Venezuela,,2021-02-03
12,3,Spanish,Tennessee - TN,,2021-02-03,,Venezuela,,2021-02-03
12,3,Spanish,Tennessee - TN,,2021-02-03,,Venezuela,,2021-02-03
13,3,Spanish,Florida - FL,,2021-02-03,,Venezuela,,2021-02-03
13,3,Spanish,Florida - FL,,2021-02-03,,Venezuela,,2021-02-03
13,3,Spanish,Florida - FL,,2021-02-03,,Venezuela,,2021-02-03
14,2,Spanish,New York - NY,,2021-02-03,,Ecuador,,2021-02-03
14,2,Spanish,New York - NY,,2021-02-03,,Ecuador,,2021-02-03
15,4,Spanish,Florida - FL,,2021-02-03,,Venezuela,,2021-02-03
15,4,Spanish,Florida - FL,,2021-02-03,,Venezuela,,2021-02-03
15,4,Spanish,Florida - FL,,2021-02-03,,Venezuela,,2021-02-03
15,4,Spanish,Florida - FL,,2021-02-03,,Venezuela,,2021-02-03
16,2,Spanish,California - CA,,2021-02-03,,Guatemala,,2021-02-03
16,2,Spanish,California - CA,,2021-02-03,,Guatemala,,2021-02-03
17,1,Spanish,Texas - TX,,2021-02-03,,Cuba,,2021-02-03
18,3,Spanish,Texas - TX,,2021-02-05,,Venezuela,,2021-02-05
18,3,Spanish,Texas - TX,,2021-02-05,,Venezuela,,2021-02-05
18,3,Spanish,Texas - TX,,2021-02-05,,Venezuela,,2021-02-05
19,1,Spanish,Florida - FL,,2021-02-05,,Cuba,,2021-02-05
20,5,Spanish,Idaho - ID,,2021-02-05,,Venezuela,,2021-02-05
20,5,Spanish,Idaho - ID,,2021-02-05,,Venezuela,,2021-02-05
20,5,Spanish,Idaho - ID,,2021-02-05,,Venezuela,,2021-02-05
20,5,Spanish,Idaho - ID,,2021-02-05,,Venezuela,,2021-02-05
20,5,Spanish,Idaho - ID,,2021-02-05,,Venezuela,,2021-02-05
21,5,Spanish,Colorado - CO,,2021-02-05,,Venezuela,,2021-02-05
21,5,Spanish,Colorado - CO,,2021-02-05,,Venezuela,,2021-02-05
21,5,Spanish,Colorado - CO,,2021-02-05,,Venezuela,,2021-02-05
21,5,Spanish,Colorado - CO,,2021-02-05,,Venezuela,,2021-02-05
21,5,Spanish,Colorado - CO,,2021-02-05,,Venezuela,,2021-02-05
22,4,Spanish,Texas - TX,,2021-02-06,,Venezuela,,2021-02-06
22,4,Spanish,Texas - TX,,2021-02-06,,Venezuela,,2021-02-06
22,4,Spanish,Texas - TX,,2021-02-06,,Venezuela,,2021-02-06
22,4,Spanish,Texas - TX,,2021-02-06,,Venezuela,,2021-02-06
23,3,Spanish,Texas - TX,,2021-02-06,,Venezuela,,2021-02-06
23,3,Spanish,Texas - TX,,2021-02-06,,Venezuela,,2021-02-06
23,3,Spanish,Texas - TX,,2021-02-06,,Venezuela,,2021-02-06
24,2,Spanish,Colorado - CO,,2021-02-06,,Venezuela,,2021-02-06
24,2,Spanish,Colorado - CO,,2021-02-06,,Venezuela,,2021-02-06
25,1,Spanish,Florida - FL,,2021-02-06,,Guatemala,,2021-02-06
26,2,Spanish,Texas - TX,,2021-02-06,,Venezuela,,2021-02-06
26,2,Spanish,Texas - TX,,2021-02-06,,Venezuela,,2021-02-06
27,1,Spanish,New York - NY,,2021-02-07,,Ecuador,,2021-02-07
28,1,Spanish,Arizona - AZ,,2021-02-07,,Mexico,,2021-02-07
29,2,Spanish,California - CA,,2021-02-07,,Mexico,,2021-02-07
29,2,Spanish,California - CA,,2021-02-07,,Mexico,,2021-02-07
30,3,Spanish,Nebraska - NE,,2021-02-07,,El Salvador,,2021-02-07
30,3,Spanish,Nebraska - NE,,2021-02-07,,El Salvador,,2021-02-07
30,3,Spanish,Nebraska - NE,,2021-02-07,,El Salvador,,2021-02-07
31,1,Spanish,New Jersey - NJ,,2021-02-09,,Ecuador,,2021-02-09
32,1,Spanish,Florida - FL,,2021-02-09,,Cuba,,2021-02-09
33,3,Spanish,Arizona - AZ,,2021-02-09,,Venezuela,,2021-02-09
33,3,Spanish,Arizona - AZ,,2021-02-09,,Venezuela,,2021-02-09
33,3,Spanish,Arizona - AZ,,2021-02-09,,Venezuela,,2021-02-09
34,1,Spanish,Florida - FL,,2021-02-09,,Cuba,,2021-02-09
35,2,Spanish,Arizona - AZ,,2021-02-09,,Venezuela,,2021-02-09
35,2,Spanish,Arizona - AZ,,2021-02-09,,Venezuela,,2021-02-09
36,2,Spanish,Texas - TX,,2021-02-09,,Venezuela,,2021-02-09
36,2,Spanish,Texas - TX,,2021-02-09,,Venezuela,,2021-02-09
37,1,Spanish,New Jersey - NJ,,2021-02-10,,Guatemala,,2021-02-10
38,4,Spanish,Florida - FL,,2021-02-10,,Cuba,,2021-02-10
38,4,Spanish,Florida - FL,,2021-02-10,,Cuba,,2021-02-10
38,4,Spanish,Florida - FL,,2021-02-10,,Cuba,,2021-02-10
38,4,Spanish,Florida - FL,,2021-02-10,,Cuba,,2021-02-10
39,2,Spanish,Utah - UT,,2021-02-10,,Venezuela,,2021-02-10
39,2,Spanish,Utah - UT,,2021-02-10,,Venezuela,,2021-02-10
40,3,Kichwa,Massachusetts - MA,,2021-02-10,,Ecuador,,2021-02-10
40,3,Kichwa,Massachusetts - MA,,2021-02-10,,Ecuador,,2021-02-10
40,3,Kichwa,Massachusetts - MA,,2021-02-10,,Ecuador,,2021-02-10
41,1,Spanish,New Jersey - NJ,,2021-02-10,,Ecuador,,2021-02-10
42,3,Spanish,Texas - TX,,2021-02-11,,Venezuela,,2021-02-11
42,3,Spanish,Texas - TX,,2021-02-11,,Venezuela,,2021-02-11
42,3,Spanish,Texas - TX,,2021-02-11,,Venezuela,,2021-02-11
43,3,Spanish,Washington - WA,,2021-02-11,,Venezuela,,2021-02-11
43,3,Spanish,Washington - WA,,2021-02-11,,Venezuela,,2021-02-11
43,3,Spanish,Washington - WA,,2021-02-11,,Venezuela,,2021-02-11
44,3,Spanish,Arizona - AZ,,2021-02-11,,Cuba,,2021-02-11
44,3,Spanish,Arizona - AZ,,2021-02-11,,Cuba,,2021-02-11
44,3,Spanish,Arizona - AZ,,2021-02-11,,Cuba,,2021-02-11
45,1,Spanish,Mexico,,2021-02-11,,Mexico,,2021-02-11
46,1,Spanish,New York - NY,,2021-02-12,,Ecuador,,2021-02-12
47,1,Spanish,Florida - FL,,2021-02-12,,Venezuela,,2021-02-12
48,1,Spanish,Florida - FL,,2021-02-12,,Mexico,,2021-02-12
49,2,Spanish,Florida - FL,,2021-02-13,,Venezuela,,2021-02-13
49,2,Spanish,Florida - FL,,2021-02-13,,Venezuela,,2021-02-13
50,2,Spanish,Florida - FL,,2021-02-13,,Venezuela,,2021-02-13
50,2,Spanish,Florida - FL,,2021-02-13,,Venezuela,,2021-02-13
51,2,Spanish,Florida - FL,,2021-02-13,,Venezuela,,2021-02-13
51,2,Spanish,Florida - FL,,2021-02-13,,Venezuela,,2021-02-13
52,1,Spanish,New York - NY,,2021-02-13,,Ecuador,,2021-02-13
53,2,Spanish,North Carolina - NC,,2021-02-14,,Nicaragua,,2021-02-14
53,2,Spanish,North Carolina - NC,,2021-02-14,,Nicaragua,,2021-02-14
54,1,Spanish,,,2021-02-14,,Honduras,,2021-02-14
55,2,Spanish,Virginia - VA,,2021-02-15,,Venezuela,,2021-02-15
55,2,Spanish,Virginia - VA,,2021-02-15,,Venezuela,,2021-02-15
56,3,Spanish,Tennessee - TN,,2021-02-15,,Venezuela,,2021-02-15
56,3,Spanish,Tennessee - TN,,2021-02-15,,Venezuela,,2021-02-15
56,3,Spanish,Tennessee - TN,,2021-02-15,,Venezuela,,2021-02-15
57,3,Spanish,Connecticut - CT,,2021-02-15,,Ecuador,,2021-02-15
57,3,Spanish,Connecticut - CT,,2021-02-15,,Ecuador,,2021-02-15
57,3,Spanish,Connecticut - CT,,2021-02-15,,Ecuador,,2021-02-15
58,4,Spanish,California - CA,,2021-02-15,,Venezuela,,2021-02-15
58,4,Spanish,California - CA,,2021-02-15,,Venezuela,,2021-02-15
58,4,Spanish,California - CA,,2021-02-15,,Venezuela,,2021-02-15
58,4,Spanish,California - CA,,2021-02-15,,Venezuela,,2021-02-15
59,1,Spanish,Florida - FL,,2021-02-15,,Cuba,,2021-02-15
60,3,Spanish,Florida - FL,,2021-02-15,,Cuba,,2021-02-15
60,3,Spanish,Florida - FL,,2021-02-15,,Cuba,,2021-02-15
60,3,Spanish,Florida - FL,,2021-02-15,,Cuba,,2021-02-15
61,3,Spanish,Texas - TX,,2021-02-16,,Venezuela,,2021-02-16
61,3,Spanish,Texas - TX,,2021-02-16,,Venezuela,,2021-02-16
61,3,Spanish,Texas - TX,,2021-02-16,,Venezuela,,2021-02-16
62,2,Spanish,Massachusetts - MA,,2021-02-16,,Ecuador,,2021-02-16
62,2,Spanish,Massachusetts - MA,,2021-02-16,,Ecuador,,2021-02-16
63,3,Kichwa,New York - NY,,2021-02-16,,Ecuador,,2021-02-16
63,3,Kichwa,New York - NY,,2021-02-16,,Ecuador,,2021-02-16
63,3,Kichwa,New York - NY,,2021-02-16,,Ecuador,,2021-02-16
64,4,Spanish,Florida - FL,,2021-02-16,,Nicaragua,,2021-02-16
64,4,Spanish,Florida - FL,,2021-02-16,,Nicaragua,,2021-02-16
64,4,Spanish,Florida - FL,,2021-02-16,,Nicaragua,,2021-02-16
64,4,Spanish,Florida - FL,,2021-02-16,,Nicaragua,,2021-02-16
65,3,Spanish,Florida - FL,,2021-02-16,,Cuba,,2021-02-16
65,3,Spanish,Florida - FL,,2021-02-16,,Cuba,,2021-02-16
65,3,Spanish,Florida - FL,,2021-02-16,,Cuba,,2021-02-16
66,2,Romanian,California - CA,,2021-02-16,,Romania,,2021-02-16
66,2,Romanian,California - CA,,2021-02-16,,Romania,,2021-02-16
67,3,Spanish,Florida - FL,,2021-02-16,,Cuba,,2021-02-16
67,3,Spanish,Florida - FL,,2021-02-16,,Cuba,,2021-02-16
67,3,Spanish,Florida - FL,,2021-02-16,,Cuba,,2021-02-16
68,1,Spanish,North Carolina - NC,,2021-02-16,,Guatemala,,2021-02-16
69,3,Spanish,Maryland - MD,,2021-02-17,,El Salvador,,2021-02-17
69,3,Spanish,Maryland - MD,,2021-02-17,,El Salvador,,2021-02-17
69,3,Spanish,Maryland - MD,,2021-02-17,,El Salvador,,2021-02-17
70,3,Spanish,Oregon - OR,,2021-02-17,,Venezuela,,2021-02-17
70,3,Spanish,Oregon - OR,,2021-02-17,,Venezuela,,2021-02-17
70,3,Spanish,Oregon - OR,,2021-02-17,,Venezuela,,2021-02-17
71,3,Spanish,Florida - FL,,2021-02-17,,Venezuela,,2021-02-17
71,3,Spanish,Florida - FL,,2021-02-17,,Venezuela,,2021-02-17
71,3,Spanish,Florida - FL,,2021-02-17,,Venezuela,,2021-02-17
72,2,Spanish,Florida - FL,,2021-02-17,,Venezuela,,2021-02-17
72,2,Spanish,Florida - FL,,2021-02-17,,Venezuela,,2021-02-17
73,6,Spanish,Utah - UT,,2021-02-17,,Venezuela,,2021-02-17
73,6,Spanish,Utah - UT,,2021-02-17,,Venezuela,,2021-02-17
73,6,Spanish,Utah - UT,,2021-02-17,,Venezuela,,2021-02-17
73,6,Spanish,Utah - UT,,2021-02-17,,Venezuela,,2021-02-17
73,6,Spanish,Utah - UT,,2021-02-17,,Venezuela,,2021-02-17
73,6,Spanish,Utah - UT,,2021-02-17,,Venezuela,,2021-02-17
74,3,Spanish,New York - NY,,2021-02-17,,Ecuador,,2021-02-17
74,3,Spanish,New York - NY,,2021-02-17,,Ecuador,,2021-02-17
74,3,Spanish,New York - NY,,2021-02-17,,Ecuador,,2021-02-17
75,2,Spanish,New York - NY,,2021-02-17,,Ecuador,,2021-02-17
75,2,Spanish,New York - NY,,2021-02-17,,Ecuador,,2021-02-17
76,1,Spanish,Indiana - IN,,2021-02-17,,Venezuela,,2021-02-17
77,1,Spanish,Florida - FL,,2021-02-17,,Mexico,,2021-02-17
78,3,Spanish,Georgia - GA,,2021-02-18,,Venezuela,,2021-02-18
78,3,Spanish,Georgia - GA,,2021-02-18,,Venezuela,,2021-02-18
78,3,Spanish,Georgia - GA,,2021-02-18,,Venezuela,,2021-02-18
79,1,Spanish,Arizona - AZ,,2021-02-18,,Venezuela,,2021-02-18
80,1,Spanish,Florida - FL,,2021-02-18,,Cuba,,2021-02-18
81,3,Spanish,New York - NY,,2021-02-18,,Ecuador,,2021-02-18
81,3,Spanish,New York - NY,,2021-02-18,,Ecuador,,2021-02-18
81,3,Spanish,New York - NY,,2021-02-18,,Ecuador,,2021-02-18
82,1,Quanjobal,California - CA,,2021-02-18,,Guatemala,,2021-02-18
83,2,Spanish,California - CA,,2021-02-19,,Honduras,,2021-02-19
83,2,Spanish,California - CA,,2021-02-19,,Honduras,,2021-02-19
84,2,Spanish,New York - NY,,2021-02-19,,Ecuador,,2021-02-19
84,2,Spanish,New York - NY,,2021-02-19,,Ecuador,,2021-02-19
85,1,Spanish,Massachusetts - MA,,2021-02-19,,Ecuador,,2021-02-19
86,2,Spanish,New York - NY,,2021-02-19,,Ecuador,,2021-02-19
86,2,Spanish,New York - NY,,2021-02-19,,Ecuador,,2021-02-19
87,2,Spanish,Florida - FL,,2021-02-19,,Guatemala,,2021-02-19
87,2,Spanish,Florida - FL,,2021-02-19,,Guatemala,,2021-02-19
88,2,Spanish,New York - NY,,2021-02-19,,Ecuador,,2021-02-19
88,2,Spanish,New York - NY,,2021-02-19,,Ecuador,,2021-02-19
89,2,Spanish,Florida - FL,,2021-02-19,,Cuba,,2021-02-19
89,2,Spanish,Florida - FL,,2021-02-19,,Cuba,,2021-02-19
90,3,Spanish,New York - NY,,2021-02-19,,Ecuador,,2021-02-19
90,3,Spanish,New York - NY,,2021-02-19,,Ecuador,,2021-02-19
90,3,Spanish,New York - NY,,2021-02-19,,Ecuador,,2021-02-19
91,1,Spanish,Georgia - GA,,2021-02-19,,Venezuela,,2021-02-19
92,1,Spanish,Texas - TX,,2021-02-19,,Venezuela,,2021-02-19
93,3,Spanish,New York - NY,,2021-02-19,,Ecuador,,2021-02-19
93,3,Spanish,New York - NY,,2021-02-19,,Ecuador,,2021-02-19
93,3,Spanish,New York - NY,,2021-02-19,,Ecuador,,2021-02-19
94,3,Spanish,Florida - FL,,2021-02-20,,Cuba,,2021-02-20
94,3,Spanish,Florida - FL,,2021-02-20,,Cuba,,2021-02-20
94,3,Spanish,Florida - FL,,2021-02-20,,Cuba,,2021-02-20
95,3,Spanish,Florida - FL,,2021-02-20,,Cuba,,2021-02-20
95,3,Spanish,Florida - FL,,2021-02-20,,Cuba,,2021-02-20
95,3,Spanish,Florida - FL,,2021-02-20,,Cuba,,2021-02-20
96,3,Spanish,Texas - TX,,2021-02-20,,Cuba,,2021-02-20
96,3,Spanish,Texas - TX,,2021-02-20,,Cuba,,2021-02-20
96,3,Spanish,Texas - TX,,2021-02-20,,Cuba,,2021-02-20
97,3,Spanish,Florida - FL,,2021-02-20,,Cuba,,2021-02-20
97,3,Spanish,Florida - FL,,2021-02-20,,Cuba,,2021-02-20
97,3,Spanish,Florida - FL,,2021-02-20,,Cuba,,2021-02-20
98,4,Spanish,Florida - FL,,2021-02-20,,Cuba,,2021-02-20
98,4,Spanish,Florida - FL,,2021-02-20,,Cuba,,2021-02-20
98,4,Spanish,Florida - FL,,2021-02-20,,Cuba,,2021-02-20
98,4,Spanish,Florida - FL,,2021-02-20,,Cuba,,2021-02-20
99,2,Spanish,New York - NY,,2021-02-21,,Ecuador,,2021-02-21
99,2,Spanish,New York - NY,,2021-02-21,,Ecuador,,2021-02-21
100,2,Spanish,Florida - FL,,2021-02-22,,Cuba,,2021-02-22
100,2,Spanish,Florida - FL,,2021-02-22,,Cuba,,2021-02-22
101,1,Spanish,Texas - TX,,2021-02-22,,Venezuela,,2021-02-22
102,1,Spanish,Tennessee - TN,,2021-02-22,,Guatemala,,2021-02-22
103,1,Spanish,Florida - FL,,2021-02-22,,Venezuela,,2021-02-22
104,1,Spanish,Florida - FL,,2021-02-22,,Cuba,,2021-02-22
105,1,Spanish,Florida - FL,,2021-02-22,,Cuba,,2021-02-22
106,1,Spanish,Florida - FL,,2021-02-22,,Cuba,,2021-02-22
107,1,Spanish,Massachusetts - MA,,2021-02-23,,Guatemala,,2021-02-23
108,1,Mam,Tennessee - TN,,2021-02-23,,Guatemala,,2021-02-23
109,2,Spanish,Arizona - AZ,,2021-02-23,,Venezuela,,2021-02-23
109,2,Spanish,Arizona - AZ,,2021-02-23,,Venezuela,,2021-02-23
110,2,Spanish,New Jersey - NJ,,2021-02-24,,Venezuela,,2021-02-24
110,2,Spanish,New Jersey - NJ,,2021-02-24,,Venezuela,,2021-02-24
111,3,Spanish,Florida - FL,,2021-02-24,,Cuba,,2021-02-24
111,3,Spanish,Florida - FL,,2021-02-24,,Cuba,,2021-02-24
111,3,Spanish,Florida - FL,,2021-02-24,,Cuba,,2021-02-24
112,3,Spanish,Texas - TX,,2021-02-24,,Venezuela,,2021-02-24
112,3,Spanish,Texas - TX,,2021-02-24,,Venezuela,,2021-02-24
112,3,Spanish,Texas - TX,,2021-02-24,,Venezuela,,2021-02-24
113,2,Spanish,Utah - UT,,2021-02-24,,Venezuela,,2021-02-24
113,2,Spanish,Utah - UT,,2021-02-24,,Venezuela,,2021-02-24
114,3,Spanish,Florida - FL,,2021-02-24,,Cuba,,2021-02-24
114,3,Spanish,Florida - FL,,2021-02-24,,Cuba,,2021-02-24
114,3,Spanish,Florida - FL,,2021-02-24,,Cuba,,2021-02-24
115,2,Spanish,Florida - FL,,2021-02-24,,Mexico,,2021-02-24
115,2,Spanish,Florida - FL,,2021-02-24,,Mexico,,2021-02-24
116,5,Spanish,Tennessee - TN,,2021-02-24,,Mexico,,2021-02-24
116,5,Spanish,Tennessee - TN,,2021-02-24,,Mexico,,2021-02-24
116,5,Spanish,Tennessee - TN,,2021-02-24,,Mexico,,2021-02-24
116,5,Spanish,Tennessee - TN,,2021-02-24,,Mexico,,2021-02-24
116,5,Spanish,Tennessee - TN,,2021-02-24,,Mexico,,2021-02-24
117,3,Spanish,Indiana - IN,,2021-02-24,,Venezuela,,2021-02-24
117,3,Spanish,Indiana - IN,,2021-02-24,,Venezuela,,2021-02-24
117,3,Spanish,Indiana - IN,,2021-02-24,,Venezuela,,2021-02-24
118,2,Spanish,Arizona - AZ,,2021-02-25,,Venezuela,,2021-02-25
118,2,Spanish,Arizona - AZ,,2021-02-25,,Venezuela,,2021-02-25
119,1,Spanish,Georgia - GA,,2021-02-25,,Venezuela,,2021-02-25
120,1,Spanish,Texas - TX,,2021-02-25,,Venezuela,,2021-02-25
121,1,Spanish,Florida - FL,,2021-02-25,,Cuba,,2021-02-25
122,1,Spanish,Texas - TX,,2021-02-25,,Venezuela,,2021-02-25
123,1,Spanish,Washington - WA,,2021-02-25,,Venezuela,,2021-02-25
124,2,Spanish,Texas - TX,,2021-02-25,,Cuba,,2021-02-25
124,2,Spanish,Texas - TX,,2021-02-25,,Cuba,,2021-02-25
125,1,Spanish,Florida - FL,,2021-02-25,,Cuba,,2021-02-25
126,1,Mam,Pennsylvania - PA,,2021-02-25,,Guatemala,,2021-02-25
127,3,Spanish,Texas - TX,,2021-02-26,,Venezuela,,2021-02-26
127,3,Spanish,Texas - TX,,2021-02-26,,Venezuela,,2021-02-26
127,3,Spanish,Texas - TX,,2021-02-26,,Venezuela,,2021-02-26
128,4,Spanish,Florida - FL,,2021-02-26,,Cuba,,2021-02-26
128,4,Spanish,Florida - FL,,2021-02-26,,Cuba,,2021-02-26
128,4,Spanish,Florida - FL,,2021-02-26,,Cuba,,2021-02-26
128,4,Spanish,Florida - FL,,2021-02-26,,Cuba,,2021-02-26
129,3,Spanish,Texas - TX,,2021-02-26,,Venezuela,,2021-02-26
129,3,Spanish,Texas - TX,,2021-02-26,,Venezuela,,2021-02-26
129,3,Spanish,Texas - TX,,2021-02-26,,Venezuela,,2021-02-26
130,4,Spanish,Texas - TX,,2021-02-26,,Venezuela,,2021-02-26
130,4,Spanish,Texas - TX,,2021-02-26,,Venezuela,,2021-02-26
130,4,Spanish,Texas - TX,,2021-02-26,,Venezuela,,2021-02-26
130,4,Spanish,Texas - TX,,2021-02-26,,Venezuela,,2021-02-26
131,1,Spanish,Florida - FL,,2021-02-26,,Venezuela,,2021-02-26
132,1,Spanish,Texas - TX,,2021-02-26,,Venezuela,,2021-02-26
133,1,Spanish,New Jersey - NJ,,2021-02-26,,Costa Rica,,2021-02-26
134,3,Spanish,New Jersey - NJ,,2021-02-27,,Cuba,,2021-02-27
134,3,Spanish,New Jersey - NJ,,2021-02-27,,Cuba,,2021-02-27
134,3,Spanish,New Jersey - NJ,,2021-02-27,,Cuba,,2021-02-27
135,2,Spanish,New York - NY,,2021-02-28,,Ecuador,,2021-02-28
135,2,Spanish,New York - NY,,2021-02-28,,Ecuador,,2021-02-28
136,3,Spanish,Florida - FL,,2021-02-28,,Venezuela,,2021-02-28
136,3,Spanish,Florida - FL,,2021-02-28,,Venezuela,,2021-02-28
136,3,Spanish,Florida - FL,,2021-02-28,,Venezuela,,2021-02-28
137,1,Spanish,Georgia - GA,,2021-02-28,,Cuba,,2021-02-28
138,1,Spanish,New York - NY,,2021-02-28,,Cuba,,2021-02-28
139,1,Spanish,Kansas - KS,,2021-02-28,,Cuba,,2021-02-28
140,2,Spanish,Texas - TX,,2021-02-28,,Cuba,,2021-02-28
140,2,Spanish,Texas - TX,,2021-02-28,,Cuba,,2021-02-28
141,2,Portuguese,Pennsylvania - PA,,2021-02-28,,Brazil,,2021-02-28
141,2,Portuguese,Pennsylvania - PA,,2021-02-28,,Brazil,,2021-02-28
142,1,Spanish,Texas - TX,,2021-02-28,,Cuba,,2021-02-28
143,1,Spanish,Texas - TX,,2021-02-28,,Cuba,,2021-02-28
144,1,Spanish,Florida - FL,,2021-02-28,,Cuba,,2021-02-28
145,1,Spanish,Florida - FL,,2021-02-28,,Cuba,,2021-02-28
146,1,Spanish,Florida - FL,,2021-02-28,,Cuba,,2021-02-28
147,4,Portuguese,Massachusetts - MA,,2021-02-28,,Brazil,,2021-02-28
147,4,Portuguese,Massachusetts - MA,,2021-02-28,,Brazil,,2021-02-28
147,4,Portuguese,Massachusetts - MA,,2021-02-28,,Brazil,,2021-02-28
147,4,Portuguese,Massachusetts - MA,,2021-02-28,,Brazil,,2021-02-28
148,2,Spanish,Florida - FL,,2021-02-28,,Cuba,,2021-02-28
148,2,Spanish,Florida - FL,,2021-02-28,,Cuba,,2021-02-28
149,2,Spanish,Texas - TX,,2021-02-28,,Cuba,,2021-02-28
149,2,Spanish,Texas - TX,,2021-02-28,,Cuba,,2021-02-28
150,1,Spanish,Florida - FL,,2021-02-28,,Cuba,,2021-02-28
151,1,Spanish,Nebraska - NE,,2021-02-28,,Cuba,,2021-02-28
152,1,Nepali,New York - NY,,2021-03-01,,Nepal,,2021-03-01
153,1,Spanish,Kansas - KS,,2021-03-01,,Venezuela,,2021-03-01
154,2,Spanish,Arizona - AZ,,2021-03-01,,Venezuela,,2021-03-01
154,2,Spanish,Arizona - AZ,,2021-03-01,,Venezuela,,2021-03-01
155,1,Spanish,Georgia - GA,,2021-03-01,,Venezuela,,2021-03-01
156,1,Albanian,Connecticut - CT,,2021-03-01,,Kosovo,,2021-03-01
157,1,Spanish,Florida - FL,,2021-03-01,,Cuba,,2021-03-01
158,1,Spanish,Texas - TX,,2021-03-01,,Venezuela,,2021-03-01
159,1,Spanish,Florida - FL,,2021-03-01,,Venezuela,,2021-03-01
160,2,Portuguese,Massachusetts - MA,,2021-03-01,,Brazil,,2021-03-01
160,2,Portuguese,Massachusetts - MA,,2021-03-01,,Brazil,,2021-03-01
161,1,Spanish,Florida - FL,,2021-03-01,,Cuba,,2021-03-01
162,1,Hindi,California - CA,,2021-03-01,,India,,2021-03-01
163,1,Hindi,California - CA,,2021-03-01,,India,,2021-03-01
164,2,Spanish,Florida - FL,,2021-03-01,,Cuba,,2021-03-01
164,2,Spanish,Florida - FL,,2021-03-01,,Cuba,,2021-03-01
165,1,Spanish,Florida - FL,,2021-03-01,,Cuba,,2021-03-01
166,2,Portuguese,Florida - FL,,2021-03-01,,Brazil,,2021-03-01
166,2,Portuguese,Florida - FL,,2021-03-01,,Brazil,,2021-03-01
167,3,Spanish,Florida - FL,,2021-03-01,,"Cuba, Uruguay",,2021-03-01
167,3,Spanish,Florida - FL,,2021-03-01,,"Cuba, Uruguay",,2021-03-01
167,3,Spanish,Florida - FL,,2021-03-01,,"Cuba, Uruguay",,2021-03-01
168,2,Spanish,Texas - TX,,2021-03-01,,Venezuela,,2021-03-01
168,2,Spanish,Texas - TX,,2021-03-01,,Venezuela,,2021-03-01
169,1,Spanish,Nevada - NV,,2021-03-01,,Cuba,,2021-03-01
170,1,Spanish,Texas - TX,,2021-03-01,,Cuba,,2021-03-01
171,1,Spanish,Nevada - NV,,2021-03-01,,Cuba,,2021-03-01
172,4,Portuguese,Massachusetts - MA,,2021-03-01,,Brazil,,2021-03-01
172,4,Portuguese,Massachusetts - MA,,2021-03-01,,Brazil,,2021-03-01
172,4,Portuguese,Massachusetts - MA,,2021-03-01,,Brazil,,2021-03-01
172,4,Portuguese,Massachusetts - MA,,2021-03-01,,Brazil,,2021-03-01
173,2,Spanish,Texas - TX,,2021-03-01,,Cuba,,2021-03-01
173,2,Spanish,Texas - TX,,2021-03-01,,Cuba,,2021-03-01
174,3,Spanish,California - CA,,2021-03-01,,Cuba,,2021-03-01
174,3,Spanish,California - CA,,2021-03-01,,Cuba,,2021-03-01
174,3,Spanish,California - CA,,2021-03-01,,Cuba,,2021-03-01
175,1,Spanish,Nebraska - NE,,2021-03-01,,Cuba,,2021-03-01
176,1,Spanish,Florida - FL,,2021-03-01,,Cuba,,2021-03-01
177,1,Portuguese,Pennsylvania - PA,,2021-03-01,,Brazil,,2021-03-01
178,1,Spanish,Texas - TX,,2021-03-01,,Cuba,,2021-03-01
179,1,Portuguese,New Jersey - NJ,,2021-03-01,,Brazil,,2021-03-01
180,1,Spanish,Florida - FL,,2021-03-01,,Cuba,,2021-03-01
181,1,Portuguese,Pennsylvania - PA,,2021-03-01,,Brazil,,2021-03-01
